link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(105, 23, '0')",0,,576.0,584.3,602.0,654.7,765.5,973.7,1141.3,1326.3,1569.8,1807.0,1152.3,2342.8,2505.3,2459.4,2524.6,2891.1,2903.7,2090.5,2199.7,2305.1
"(62, 23, '0')",0,,471.7,479.2,490.4,497.3,528.0,634.8,723.8,816.5,875.4,980.7,743.6,1484.3,1509.6,1367.8,1390.8,1300.9,1374.0,1044.8,1054.8,1041.1
"(95, 23, '0')",0,,1522.2,1562.3,1605.7,1641.2,1701.5,1744.1,1781.0,1821.0,1865.0,1886.4,1797.0,2301.6,2529.7,2861.6,2934.1,3043.8,3180.1,2574.3,2496.8,2604.7
"(9, 708, '0')",0,,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7
"(707, 708, '0')",0,,966.8,971.0,987.2,1004.5,1068.0,1179.2,1283.2,1381.6,1402.9,1460.7,1339.8,1958.9,2140.2,2188.3,2213.4,2494.1,2551.5,1290.3,1573.9,1816.9
"(737, 708, '0')",0,,846.4,890.8,964.9,1153.6,1423.3,1735.1,1975.4,2202.1,2485.5,2757.8,2006.0,3399.7,3546.3,3652.3,3718.1,3944.9,3840.1,3135.2,3475.9,3706.0
"(9, 1230, '0')",0,,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8
"(82, 237, '0')",0,,284.4,327.7,382.6,503.2,641.8,729.8,785.8,759.0,723.3,713.5,760.0,667.0,651.6,799.7,790.5,625.9,567.5,750.4,819.2,863.6
"(144, 237, '0')",0,,1999.9,1956.6,1901.7,1781.1,1642.5,1554.5,1498.5,1525.3,1561.0,1570.8,1524.3,1617.3,1632.7,1484.6,1493.8,1658.3,1716.8,1533.9,1465.1,1420.7
"(62, 144, '0')",0,,257.4,263.1,272.2,244.6,208.5,183.1,176.6,199.7,224.4,240.5,197.8,306.3,336.5,210.3,208.7,355.5,385.1,115.2,92.3,90.4
"(48, 144, '0')",0,,1742.4,1693.5,1629.5,1536.5,1434.1,1371.3,1321.9,1325.6,1336.5,1330.3,1326.6,1311.0,1296.2,1274.2,1285.2,1302.9,1331.7,1418.7,1372.8,1330.3
"(57, 55, '0')",0,,801.1,838.2,880.9,964.9,1136.5,1383.0,1581.0,1778.0,2042.4,2257.7,1624.8,2699.2,2918.7,2989.4,3082.4,2985.3,3102.5,3081.3,2982.4,2964.6
"(56, 55, '0')",0,,589.2,570.5,554.3,523.2,509.4,523.6,583.8,697.3,772.3,885.7,603.7,1424.4,1407.6,1175.6,1172.9,1222.7,1285.6,986.2,969.2,948.6
"(93, 55, '0')",0,,429.2,488.5,596.9,721.6,825.2,913.3,963.6,951.5,956.7,963.1,957.8,905.3,942.7,979.3,1013.6,1186.0,1088.5,848.6,898.4,916.9
