link_key,speed_hist_avg,inrix_id,tt_sd,bus_stops,speed_ref_sd,intersections,median_age,speed_avg,tt_avg,road_closures,tt_sd_adj,tt_var,speed_sd,incidents,tt_cv,speed_ref_avg,median_inc,pems_ids,speed_hist_sd,speed_max,speed_cv
"(33, 840, '0')",25.735,449892031.000,0.066,0,0.000,0,26.700,18.796,0.420,0.000,0,0.004,2.611,1,0.158,24.233,30.907,[],1.600,22.369,0.139
"(839, 840, '0')",14.809,449891941.000,0.068,0,0.000,1,26.700,14.292,0.444,0.000,0,0.005,2.248,0,0.154,19.263,30.907,[],0.831,19.263,0.157
"(853, 840, '0')",25.735,449892032.000,0.108,0,0.000,0,29.000,12.842,0.517,0.000,0,0.012,2.833,0,0.210,24.233,36.974,[],1.600,18.641,0.221
"(854, 840, '0')",14.809,449891941.000,0.068,0,0.000,0,26.700,14.292,0.444,0.000,0,0.005,2.248,0,0.154,19.263,30.907,[],0.831,19.263,0.157
"(33, 209, '0')",14.809,449891942.000,0.183,0,0.000,1,26.700,12.790,0.634,0.000,0,0.034,2.920,2,0.289,19.263,30.907,[],0.831,17.398,0.228
"(222, 209, '0')",25.735,1626617701.000,0.062,0,0.000,2,29.000,10.926,0.527,0.000,0,0.004,1.198,4,0.117,24.233,36.974,[],1.600,13.049,0.110
"(542, 209, '0')",61.412,1626686669.000,0.010,0,0.000,0,29.000,66.849,0.343,0.000,0,0.000,1.388,2,0.029,65.244,36.974,[],0.640,69.594,0.021
"(34, 1305, '0')",0.000,,0.000,0,0.000,2,26.700,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,30.907,[],0.000,0.000,0.000
"(1304, 1305, '0')",0.000,,0.000,0,0.000,0,26.700,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,30.907,[],0.000,0.000,0.000
"(34, 893, '0')",22.007,1626709526.000,0.200,0,0.000,2,26.700,16.311,0.766,0.000,0,0.040,3.300,0,0.261,29.826,30.907,[],0.619,20.505,0.202
"(34, 1515, '0')",0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
"(488, 486, '0')",0.000,,0.000,0,0.000,1,36.500,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,42.500,"[601214, 602214]",0.000,0.000,0.000
"(464, 461, '0')",23.819,1626692488.000,0.141,0,0.000,0,46.800,20.505,0.572,0.000,0,0.020,4.589,0,0.246,31.069,15.738,"[601412, 602412]",3.216,26.098,0.224
